std,rho,name
0.008462265285469055,1.0,REF
0.009461870757778523,0.1396702210042727,u₁₀ = 13.8
0.009531143094905867,0.1538138160662254,u₁₀ = 31.0
0.009598732009305696,0.15859767317501328,u₁₀ = 38.0
0.009975669270363632,0.1601254163740811,u₁₀ = 45.4
0.009717995034431047,0.1654757891392462,u₁₀ = 47.2
